stock_code,category
ADJUST,adjustment
ADJUST2,adjustment
AMAZONFEE,fee
B,adjustment
BANK CHARGES,fee
C2,shipping
C3,stock_movement
CRUK,fee
D,discount
DCGS0003,product
DCGS0004,product
DCGS0006,stock_movement
DCGS0016,stock_movement
DCGS0027,stock_movement
DCGS0036,stock_movement
DCGS0037,product
DCGS0039,stock_movement
DCGS0041,product
DCGS0044,product
DCGS0053,stock_movement
DCGS0055,stock_movement
DCGS0056,stock_movement
DCGS0057,stock_movement
DCGS0058,product
DCGS0059,stock_movement
DCGS0060,stock_movement
DCGS0062,product
DCGS0066N,product
DCGS0066P,stock_movement
DCGS0067,stock_movement
DCGS0068,product
DCGS0069,product
DCGS0070,product
DCGS0071,stock_movement
DCGS0072,product
DCGS0073,stock_movement
DCGS0074,stock_movement
DCGS0075,product
DCGS0076,product
DCGSLBOY,stock_movement
DCGSLGIRL,stock_movement
DCGSSBOY,product
DCGSSGIRL,product
DOT,shipping
GIFT,stock_movement
M,manual
PADS,product
POST,shipping
S,sample
SP1002,product
TEST001,test
TEST002,test
gift_0001_10,gift_voucher
gift_0001_20,gift_voucher
gift_0001_30,gift_voucher
gift_0001_40,gift_voucher
gift_0001_50,gift_voucher
gift_0001_60,gift_voucher
gift_0001_70,gift_voucher
gift_0001_80,gift_voucher
gift_0001_90,gift_voucher
m,manual
